Name,Gender,Count
Quinten,M,155
Raf,M,102
Rafael,M,78
Rafaël,M,30
Raff,M,36
Ralph,M,35
Ramon,M,28
Ravi,M,133
Rayan,M,217
Rayen,M,35
Reda,M,29
Rein,M,42
Rens,M,173
Renzo,M,37
Rick,M,103
Rijk,M,40
Rik,M,45
Riley,M,78
Roan,M,262
Robert,M,52
Robin,M,203
Roef,M,27
Roel,M,44
Roelof,M,27
Rohan,M,29
Rowan,M,76
Roy,M,43
Ruben,M,539
Rutger,M,32
Ryan,M,349
Safouan,M,39
Sam,M,487
Sami,M,79
Samuel,M,220
Samuël,M,47
Sander,M,91
Scott,M,46
Seb,M,45
Sebas,M,44
Sebastiaan,M,103
Sebastian,M,43
Sef,M,31
Sem,M,747
Semih,M,43
Senn,M,169
Senna,M,35
Sep,M,135
Sepp,M,171
Seth,M,109
Shane,M,37
Siebe,M,52
Siem,M,414
Sil,M,107
Silas,M,28
Silvan,M,32
Silvijn,M,48
Simon,M,197
Sjoerd,M,75
Sjors,M,47
Sky,M,29
Soufian,M,28
Stan,M,246
Stef,M,146
Stefan,M,71
Steijn,M,29
Sten,M,76
Steven,M,38
Stijn,M,517
Storm,M,52
Sven,M,417
Sverre,M,55
Taeke,M,27
Talha,M,27
Ted,M,29
Teije,M,46
Teun,M,377
Teunis,M,42
Thiago,M,38
Thijmen,M,247
Thijn,M,99
Thijs,M,582
Thom,M,79
Thomas,M,586
Tibbe,M,50
Tieme,M,46
Ties,M,270
Tigo,M,30
Tije,M,27
Tijl,M,40
Tijmen,M,88
Tijn,M,375
Tijs,M,101
Tim,M,585
Timme,M,28
Timo,M,156
Tobias,M,196
Toby,M,30
Tom,M,259
Tomas,M,31
Tony,M,27
Toon,M,30
Tristan,M,72
Twan,M,148
Tycho,M,60
Tygo,M,353
Tyler,M,50
Umut,M,27
Valentijn,M,102
Valentino,M,41
Victor,M,82
Viggo,M,56
Vigo,M,75
Vince,M,233
Vincent,M,70
Vinz,M,38
Wes,M,44
Wesley,M,70
Wessel,M,122
Wiebe,M,28
Willem,M,267
William,M,49
Wout,M,112
Wouter,M,74
Xander,M,35
Xavi,M,226
Xavier,M,36
Yannick,M,55
Yasin,M,31
Yassin,M,61
Yassine,M,34
Yassir,M,41
Younes,M,57
Youri,M,33
Youssef,M,66
Yusuf,M,95
Yves,M,34
Zakaria,M,64
Ömer,M,65
Aafke,V,27
Aaliyah,V,51
Abby,V,33
Abigail,V,51
Adriana,V,65
Aimee,V,29
Aimée,V,81
Alexandra,V,34
Alice,V,32
Alicia,V,80
Alina,V,47
Alisha,V,46
Alissa,V,27
Alyssa,V,63
Amani,V,33
Amber,V,238
Amelia,V,69
Amelie,V,52
Amina,V,54
Amira,V,115
Amy,V,322
Amélie,V,109
Angelina,V,89
Aniek,V,40
Anissa,V,32
Anna,V,535
Annabel,V,58
Annabelle,V,31
Anne,V,346
Annemijn,V,42
Anniek,V,34
Anouk,V,203
Ashley,V,67
Asya,V,28
Ava,V,35
Aya,V,114
Ayla,V,45
Aylin,V,69
Azra,V,52
Babette,V,49
Beau,V,32
Bella,V,27
Belle,V,29
Bente,V,193
Benthe,V,251
Bibi,V,61
Bo,V,168
Bobbi,V,30
Bobbie,V,27
Bregje,V,35
Britt,V,97
Caitlin,V,29
Carice,V,33
Carlijn,V,52
Carmen,V,68
Catharina,V,50
Cato,V,139
Celeste,V,29
Celina,V,28
Celine,V,42
Ceylin,V,36
Chanel,V,29
Charlie,V,46
Charlotte,V,234
Chayenna,V,29
Chayenne,V,28
Chelsea,V,63
Chelsey,V,59
Cheyenne,V,31
Chiara,V,42
Chloe,V,28
Chloé,V,71
Chloë,V,88
Christina,V,47
Claire,V,31
Cornelia,V,87
Daantje,V,65
Daisy,V,39
Dana,V,56
Dani,V,43
Danique,V,105
Danisha,V,27
Daniëlle,V,29
Daphne,V,95
Demi,V,139
Destiny,V,35
Dewi,V,77
Diede,V,42
Dila,V,29
Dilara,V,29
Dina,V,63
Djenna,V,33
Dominique,V,45
Donna,V,39
Doris,V,29
Dounia,V,29
Ecrin,V,34
Eden,V,29
Eef,V,33
Eefje,V,36
Ela,V,67
Elena,V,167
Elif,V,154
Elin,V,362
Elina,V,55
Eline,V,256
Elisa,V,175
Elisabeth,V,125
Elise,V,278
Eliza,V,72
Elizabeth,V,75
Elize,V,111
Ella,V,187
Elle,V,30
Elsa,V,32
Emilia,V,50
Emilie,V,48
Emily,V,234
Emma,V,666
Emmelie,V,31
Erva,V,40
Esila,V,34
Eslem,V,34
Esma,V,57
Esmay,V,31
Esmee,V,345
Esmée,V,133
Esra,V,28
Esther,V,65
Eva,V,544
Evelien,V,62
Eveline,V,31
Evi,V,483
Evie,V,62
Evy,V,253
Fabienne,V,34
Fabiënne,V,68
Faith,V,52
Fajah,V,34
Famke,V,44
Farah,V,49
Fatima,V,54
Fay,V,215
Faya,V,75
Faye,V,111
Fayenne,V,71
Fayèn,V,53
Febe,V,33
Fee,V,31
Felicia,V,42
Felien,V,37
Feline,V,276
Fem,V,145
Femke,V,346
Femme,V,27
Fenna,V,570
Fenne,V,236
Feyza,V,28
Fieke,V,49
Fien,V,199
Fiene,V,169
Fleur,V,508
Floor,V,286
Floortje,V,84
Flore,V,47
Florine,V,45
Frederique,V,58
Féline,V,71
Giulia,V,27
Guusje,V,137
Gwen,V,58
Hafsa,V,43
Hailey,V,109
Hajar,V,42
Hanna,V,114
Hannah,V,224
Hanne,V,44
Helena,V,73
Hendrika,V,60
Hiba,V,27
Ilana,V,36
Ilse,V,162
Imane,V,44
Imani,V,27
Imke,V,54
Imme,V,32
Inaya,V,70
Indy,V,171
Ines,V,35
Iris,V,298
Isa,V,508
Isabeau,V,41
Isabel,V,223
Isabella,V,270
Isabelle,V,142
Ise,V,107
Isis,V,161
Isra,V,68
Ivy,V,136
Iza,V,45
Ize,V,70
Izzy,V,27
Jackie,V,53
Jade,V,163
Janna,V,80
Janne,V,122
Janneke,V,33
Jannetje,V,29
Jara,V,27
Jasmijn,V,311
Jasmine,V,45
Jayda,V,37
Jaylin,V,35
Jaylinn,V,130
Jazzlyn,V,31
Jenna,V,64
Jennifer,V,67
Jente,V,83
Jenthe,V,36
Jessica,V,42
Jessie,V,54
Jet,V,94
Jette,V,27
Jill,V,226
Jinte,V,69
Jinthe,V,83
Jip,V,33
Joanna,V,35
Johanna,V,172
Jolie,V,104
Jolien,V,31
Jolijn,V,56
Josefien,V,39
Josephine,V,106
Joy,V,78
Joyce,V,31
Joëlle,V,64
Judith,V,28
Jula,V,36
Julia,V,699
Julie,V,200
Juliette,V,63
Juliëtte,V,48
Juna,V,62
June,V,38
Juul,V,113
Karlijn,V,73
Kate,V,104
Kaylee,V,81
Kayleigh,V,59
Keet,V,46
Khadija,V,42
Kiki,V,138
Kim,V,70
Kirsten,V,40
Kyara,V,45
Kyra,V,79
Lana,V,253
Lara,V,219
Larissa,V,33
Laura,V,187
Lauren,V,203
Layla,V,50
Lea,V,31
Leah,V,75
Leanne,V,34
Lena,V,215
Lente,V,43
Lenthe,V,40
Leona,V,31
Leonie,V,29
Lexie,V,27
Leyla,V,30
Lianne,V,48
Lieke,V,473
Lieve,V,99
Lilly,V,76
Lily,V,118
Lina,V,239
Linde,V,147
Lindsey,V,56
Linn,V,53
Lisa,V,578
Lisanne,V,93
Lise,V,174
Liselotte,V,45
Liv,V,344
Liva,V,83
Livia,V,104
Liz,V,242
Liza,V,103
Lize,V,150
Lizz,V,41
Lizzy,V,218
Loes,V,45
Lois,V,63
Lola,V,173
Lorena,V,44
Lot,V,84
Lotte,V,546
Lotus,V,29
Lou,V,34
Louisa,V,29
Louise,V,105
Loïs,V,241
Lucie,V,31
Lucy,V,70
Luna,V,239
Lune,V,28
Lynn,V,504
Maaike,V,69
Maartje,V,85
Macy,V,27
Madeleine,V,28
Madelief,V,109
Maja,V,66
Malak,V,36
Manar,V,34
Manou,V,28
Mara,V,111
Mare,V,81
Maria,V,242
Mariam,V,39
Marie,V,57
Marieke,V,28
Marije,V,28
Marit,V,149
Marley,V,49
Marly,V,46
Marwa,V,39
Maryam,V,90
Maud,V,386
Maya,V,66
Maysa,V,31
Megan,V,89
Meike,V,105
Melissa,V,58
Melody,V,28
Merel,V,181
Merle,V,73
Meryem,V,50
Mette,V,90
Meyra,V,28
Mia,V,108
Michelle,V,68
Mila,V,552
Milena,V,41
Milou,V,264
Mina,V,53
Minke,V,39
Mira,V,42
Mirre,V,34
Mirte,V,68
Mirthe,V,189
Myrthe,V,128
Nadia,V,63
Nadine,V,53
Naomi,V,298
Nathalie,V,28
Neeltje,V,62
Nena,V,40
Nicole,V,41
Niene,V,37
Nienke,V,168
Nika,V,48
Nikita,V,33
Nikki,V,227
Nina,V,344
Nine,V,55
Ninthe,V,56
Nisa,V,62
Nisrine,V,32
Noa,V,465
Nola,V,49
Nomi,V,29
Noor,V,337
Noortje,V,97
Nora,V,327
Norah,V,194
Nour,V,47
Nova,V,244
Noëlle,V,47
Nynke,V,76
Olivia,V,374
Phileine,V,77
Pien,V,126
Pip,V,51
Pippa,V,54
Pleun,V,74
Puck,V,174
Puk,V,39
Quinty,V,77
Rachel,V,37
Rana,V,30
Rania,V,32
Ranomi,V,27
Rebecca,V,36
Renske,V,78
Robin,V,133
Romaissa,V,29
Romy,V,165
Romée,V,32
Ronja,V,28
Roos,V,431
Rosa,V,160
Rosalie,V,220
Rosanne,V,30
Ruby,V,38
Saar,V,472
Safae,V,45
Salma,V,50
Sam,V,94
Samantha,V,33
Sanna,V,27
Sanne,V,427
Sara,V,545
Sarah,V,414
Selena,V,57
Selin,V,27
Selina,V,76
Selma,V,48
Sena,V,31
Senna,V,202
Sienna,V,40
Silke,V,100
Skye,V,39
Sofia,V,173
Sofie,V,344
Sophia,V,247
Sophie,V,710
Soraya,V,47
Stacey,V,41
Stella,V,99
Sterre,V,151
Suus,V,156
Suzanne,V,37
Suze,V,206
Sylvie,V,31
Tamar,V,27
Tara,V,78
Tess,V,786
Tessa,V,276
Tessel,V,27
Thirza,V,52
Tirza,V,45
Tuana,V,28
Vajèn,V,141
Valentina,V,67
Valerie,V,93
Vanessa,V,40
Veerle,V,182
Vera,V,236
Victoria,V,78
Vienna,V,38
Vivian,V,28
Viënna,V,29
Wende,V,30
Wies,V,50
Wilhelmina,V,36
Willemijn,V,45
Yara,V,282
Yaren,V,27
Yasmin,V,66
Yasmina,V,46
Yasmine,V,61
Yenthe,V,56
Yfke,V,95
Yinthe,V,57
Yousra,V,27
Yuna,V,62
Zahra,V,32
Zara,V,70
Zehra,V,47
Zeynep,V,63
Ziva,V,38
Zoey,V,52
Zoë,V,544
Zuzanna,V,45
Vinn,M,28
Fayen,V,35
Femm,V,36
Vayèn,V,41
Liyana,V,33
Miley,V,29
Vayen,V,28
Cataleya,V,28
